id,Car,Color,Model,Origin
2D4RN3DG8BR109500,Ford,Fuscia,Festiva,AF
1FMJK1JT3FE354502,Toyota,Maroon,RAV4,UZ
5J6TF2H54FL592947,Lamborghini,Pink,Murciélago,PL
3VW4S7AT2EM765208,Volkswagen,Crimson,Fox,RU
1G6AG5RX3D0698335,Honda,Turquoise,Civic,ID
KMHEC4A46DA555410,BMW,Mauv,7 Series,ID
3D7JV1EP9BG688604,Saab,Purple,9-5,CN
1G6DL1E32C0043361,Chevrolet,Puce,Silverado,CN
2G61S5S36F9750541,Volkswagen,Indigo,GTI,PL
3C63DRKL8CG429195,Chevrolet,Indigo,Camaro,NG
5TDBK3EH8CS981716,Audi,Khaki,A3,AZ
1FTWW3B55AE669207,Hyundai,Khaki,Elantra,PT
3C63D3ML6CG852576,Jeep,Orange,Commander,BR
WBAFV3C56ED098114,Volkswagen,Orange,Type 2,CN
1FTSW2B54AE571794,Ford,Goldenrod,Explorer,CO
KMHTC6AD8DU229500,Mitsubishi,Green,Galant,PH
1FMEU5BE5AU092581,GMC,Mauv,Yukon XL 2500,ZA
5TDBK3EH6BS309409,Oldsmobile,Teal,Silhouette,PE
WAUWGAFC6FN912461,Porsche,Teal,928,CN
1G6DM1E36D0472839,Mazda,Goldenrod,CX-9,ZA
WA1DGBFE8FD352525,Audi,Pink,A6,AL
1G6AF5SX2D0467987,Toyota,Turquoise,Matrix,CN
WVWBB7AJ1DW789295,Chevrolet,Red,Camaro,FR
WBA3G7C5XFK657648,Cadillac,Puce,DeVille,CN
1GYS4BEF9BR367865,Volkswagen,Orange,GTI,CO
WBAYP1C5XDD361033,Maserati,Violet,Biturbo,CN
WAULC68E43A625925,Chevrolet,Mauv,Tracker,PH
WP1AE2A26CL876653,Honda,Fuscia,Accord,TH
5GADV33L36D627319,Chevrolet,Violet,Express 2500,CN
JN8AS1MU5BM242896,Pontiac,Fuscia,Bonneville,NZ
3VW507AT5FM931832,Mercury,Fuscia,Cougar,RU
WAUUL68E15A446538,Chevrolet,Turquoise,G-Series G10,ID
1FTEW1C87AF376508,Oldsmobile,Aquamarine,Aurora,AR
1G4GC5GG5AF217415,Ford,Violet,F150,IR
WBAPH7C52AE089112,Mercedes-Benz,Orange,SL-Class,CN
5N1AN0NU3AC603845,Honda,Purple,CR-X,ID
SAJWA4ECXBM662893,Porsche,Turquoise,911,AR
WBAYB6C5XFG099379,Nissan,Indigo,Xterra,KR
WAUVT68E95A725871,Ford,Yellow,Mustang,CN
2G4GY5GV1B9173309,Kia,Orange,Sorento,PH
19XFA1E5XAE708895,Ford,Orange,Aspire,BR
3GYFNAE37DS875301,Chrysler,Mauv,Town & Country,VN
SCFEBBBK2EG610623,Infiniti,Puce,Q,ML
3D73M3HL4BG070459,Acura,Red,TL,CN
19XFB4F24EE941308,Ford,Aquamarine,Ranger,CN
1N6AA0CA3EN571804,Chevrolet,Red,Cavalier,PT
2G61S5S37D9416502,Mercedes-Benz,Yellow,SLR McLaren,MZ
1FTEX1C83AK618148,Eagle,Khaki,Summit,ID
2G4WY55J821709070,Suzuki,Maroon,Reno,CN
2B3CA4CD0AH993787,Toyota,Fuscia,RAV4,AT
WBXPC9C47AW678092,Ford,Pink,E-Series,ID
1G6AH5RX5E0836584,Kia,Aquamarine,Rio,MA
JH4CL95954C991215,Honda,Khaki,Ridgeline,ID
WDDNG7BB1AA530312,Eagle,Violet,Talon,ID
2G4WC562751009308,Infiniti,Turquoise,J,PH
WP0AB2A81FK793305,Nissan,Purple,Altima,CA
5GADX33L95D541750,Subaru,Aquamarine,Leone,PT
3VW517AT5FM888137,Mercury,Maroon,Mountaineer,SL
WBA8Z5C51FD963534,Nissan,Orange,Xterra,RU
2G4WC552571311894,Lincoln,Aquamarine,Town Car,CN
WBANA73594B004610,Lincoln,Green,Navigator,CN
WAUMGBFL8DA497855,Mazda,Blue,RX-8,BR
JH4CL95948C069587,Dodge,Indigo,Grand Caravan,PE
1N6AF0LY3EN412702,Mazda,Fuscia,Mazda6,BD
WBAWC7C5XAP871883,Chevrolet,Aquamarine,Blazer,SE
2G4GS5EKXC9245328,Chevrolet,Crimson,Corsica,PT
1G4HJ5EM8AU717292,Maserati,Crimson,430,NP
WUADUAFG8AN318195,Suzuki,Indigo,Daewoo Magnus,CN
WBA3A9G55CN029076,BMW,Crimson,5 Series,CN
2G4GU5EV6C9338190,Mercury,Purple,Sable,AZ
1FTNF2B55AE155069,Lexus,Indigo,GS,CI
WBAKF5C55BE814739,Ford,Green,Contour,PL
1FTSW2B52AE025608,Dodge,Red,Charger,BG
WBAYE4C56ED596831,Mitsubishi,Crimson,Eclipse,ID
5GADX23L96D233750,Suzuki,Violet,SX4,BR
1GYS3SKJ3FR683697,Saturn,Yellow,S-Series,LI
4T1BF1FK6FU105371,Pontiac,Crimson,Firebird,RU
WAUKF78E16A699753,Audi,Green,A8,PL
1G6DZ67A190274560,Infiniti,Fuscia,G,CO
WAUHFAFL0CA909683,Chevrolet,Purple,Express 3500,JP
1FTNX2A52AE898433,Dodge,Aquamarine,Caravan,ID
KNAFU6A2XA5975317,Mazda,Puce,Mazdaspeed 3,CN
JM1NC2LF8F0890703,Ford,Yellow,Aerostar,CN
JN1AZ4EH6BM454204,Scion,Purple,xD,MY
19UUA56632A803536,Volkswagen,Blue,GTI,US
WAUFFAFL0CN600747,Lincoln,Goldenrod,MKX,ID
WAUJT68E82A297088,Ford,Fuscia,Expedition,BR
WAUBVAFB1AN954041,Chrysler,Khaki,Town & Country,CN
4T1BD1EB1FU776874,Porsche,Maroon,928,CN
WBA3C1G54DN865345,Chevrolet,Purple,Cruze,CO
3FADP4AJ9BM547771,Nissan,Goldenrod,Pathfinder,BR
2G4WS52JX41022617,Mercury,Maroon,Grand Marquis,CA
2G4WC552271073311,Dodge,Pink,Dakota,RS
WBANN735X7C856791,Volvo,Puce,S40,MG
4JGDA2EB4DA863934,Lexus,Goldenrod,LS,CZ
WBA3A9C51DF975306,Volkswagen,Puce,Scirocco,PT
3N1CE2CP5FL584042,Mazda,Khaki,929,EC
WAULT68EX5A679930,Honda,Turquoise,CR-Z,RU
VNKKTUD37FA519651,Pontiac,Violet,Grand Prix,KZ
3VWML7AJ9CM998799,Honda,Goldenrod,Insight,PA
1N6AF0KX2EN233933,Mercury,Khaki,Grand Marquis,PH
3C4PDDEG2DT814868,Chevrolet,Fuscia,Avalanche 2500,CN
5UXFB33522L617946,Nissan,Yellow,350Z,ID
WAUEH78E48A896605,Lamborghini,Teal,Diablo,CN
JTEBU4BF6DK819123,Mercedes-Benz,Green,C-Class,ID
WAUDL74F05N396017,Saturn,Indigo,Aura,CO
JH4CW2H50BC891267,Volkswagen,Goldenrod,Cabriolet,IE
TRURD38J381141246,Dodge,Goldenrod,Dakota Club,CO
3C3CFFFH2FT195711,Hummer,Khaki,H3,CN
WAUGL68E25A090906,Pontiac,Crimson,Grand Prix,CN
5UXFG8C50DL292845,Suzuki,Turquoise,Grand Vitara,KR
WAULT68E35A956739,Chevrolet,Turquoise,Suburban 1500,CZ
WAUFGAFC6DN257179,BMW,Purple,3 Series,SE
JH4DC43671S973526,Dodge,Mauv,Caravan,GF
1GKS1AE06BR277663,BMW,Pink,745,BR
1C6RD7KP0CS128852,Honda,Turquoise,Accord,CO
1G4HG5EM8AU835566,Subaru,Orange,Alcyone SVX,FR
3D73M4EL3AG660287,Chevrolet,Violet,Silverado,CN
5N1AN0NW9DN513013,Subaru,Orange,Legacy,KR
WAUDF58E05A656372,Volkswagen,Goldenrod,Corrado,FR
WBABW33464P731436,Ford,Turquoise,F150,PH
WA1YD64B62N284207,Mercedes-Benz,Aquamarine,CL-Class,CN
JM1NC2LF9D0619128,Pontiac,Green,Firebird,SE
1G6AW5SX5E0417070,Audi,Maroon,100,CN
19UYA42431A771301,Chevrolet,Goldenrod,Blazer,JP
WAUAF98E55A777196,Toyota,Green,Previa,ID
WBAKB0C58CC388427,Acura,Crimson,TSX,PT
1FTEX1CM1DK568576,GMC,Crimson,Savana 3500,JM
1N6AA0CC8BN236289,Mitsubishi,Puce,Mirage,VN
JN1CV6FE1CM107465,Saab,Aquamarine,9-3,NO
WA1WMBFE8BD963781,Alfa Romeo,Turquoise,Spider,MX
WBAEP334X2P399136,GMC,Pink,Savana 1500,ID
WAUWGAFC4DN274269,Dodge,Violet,Ram 1500,RU
1G6DU6ED2B0871489,Ford,Pink,F250,NG
TRUXD38J891524849,Toyota,Indigo,4Runner,CN
WAUFGBFC7EN225932,GMC,Pink,Savana 1500,CN
2C3CCABG8DH744763,Ford,Aquamarine,Bronco,RU
SCFFDCCD9CG240577,Hyundai,Green,Accent,MU
WP0AB2A90FS860923,Mitsubishi,Violet,Diamante,ID
3C63DRKL5CG976859,Kia,Maroon,Sephia,BR
WA1DGAFE6ED352287,GMC,Puce,Rally Wagon 3500,SE
JH4CU2F61BC980220,Mercedes-Benz,Goldenrod,E-Class,NG
W04GX5GV1B1826680,Saab,Maroon,9-5,CZ
WVWAP7AN3EE560124,Ford,Crimson,Fiesta,RU
WA1VMBFP6EA961613,Ford,Teal,Taurus,CN
WAUSF78K29A528164,Audi,Crimson,100,CN
JHMZF1C47CS777213,Porsche,Turquoise,928,LK
WBA3B1G52FN534902,Nissan,Red,Quest,BR
1G6KD57Y03U366692,MINI,Blue,Cooper,UA
WAUUL68E45A643252,Lotus,Blue,Exige,CN
WAUFFAFM7AA188789,Saturn,Green,Ion,CN
JN8AZ2KR6AT667371,Mercedes-Benz,Orange,CL-Class,NL
WBAAV33401E774854,Mitsubishi,Goldenrod,Outlander,ID
WBABS53411E751186,Pontiac,Yellow,Sunbird,GR
WVWAN7AN2EE111314,Ford,Goldenrod,Aspire,ID
5UXFF03539L981645,Nissan,Crimson,Frontier,ID
2G4WC532751698822,Volkswagen,Crimson,Rabbit,RU
3D7JV1EP1AG926105,Nissan,Puce,Quest,ID
3VW517AT4EM050177,BMW,Crimson,600,CN
3GYFNCEY4AS386311,Volvo,Yellow,S40,ID
3VW467ATXCM639342,Toyota,Indigo,Echo,FR
WBAEJ13452A039698,Land Rover,Green,LR3,CN
1C3CDZBG4CN227641,Chrysler,Teal,Concorde,ID
1GYS4DEF1DR881868,Suzuki,Crimson,Swift,RU
WA1LGAFE5ED816701,Chevrolet,Puce,S10,NG
4T1BK3DB4AU752273,Buick,Blue,LeSabre,PH
WAURGAFD9EN025053,Mitsubishi,Khaki,Eclipse,SE
1GYS4SKJXFR636051,Chrysler,Crimson,Town & Country,CN
19XFB2F56FE652883,BMW,Orange,650,GR
WVWAA7AH1BV356848,Pontiac,Violet,Montana,TN
JH4DC548X2C770714,Mazda,Khaki,323,AE
1N6AA0CC9DN773949,Nissan,Orange,Titan,PL
ZHWGU5BZ3CL269020,Dodge,Violet,Dakota,TN
WAUMGAFL7CA030290,Ford,Crimson,Econoline E250,AL
KMHDB8AEXCU185798,Chevrolet,Crimson,Suburban 2500,MX
WBA3B3C59EF979745,Toyota,Violet,Prius,ID
JTHBL5EF9F1478137,Mercedes-Benz,Mauv,300SD,ID
2T1BURHEXFC888661,GMC,Green,Yukon,CZ
KMHFG4JG3FA735823,Nissan,Violet,Sentra,PT
WAUBF48H07K648782,Lamborghini,Yellow,Murciélago,PT
WAUXL68E45A843755,Porsche,Turquoise,911,MM
1D4PU2GK2AW191556,GMC,Indigo,Envoy XL,CN
JN1CV6EKXDM994413,Hyundai,Orange,Veracruz,ID
WDDGF4HB7CF292313,Nissan,Goldenrod,200SX,ID
1G4GD5G3XFF559153,Mercury,Orange,Sable,CN
WAUKF98E17A205940,Nissan,Red,Titan,PL
WBAKA83509C484403,Volkswagen,Red,Cabriolet,HN
KM8JT3AB1BU126498,Pontiac,Maroon,Bonneville,NG
ZFBCFACH2FZ734326,Ford,Khaki,Fusion,ID
W04GS5EC0B1491430,Dodge,Pink,Ram 3500,CN
2G4GY5GV7B9878549,Volkswagen,Crimson,Scirocco,CN
5N1AT2ML3EC203428,Mitsubishi,Aquamarine,Montero Sport,CN
1G6DL8E35D0692291,Hummer,Puce,H1,PL
3VW4A7AT6DM022181,Nissan,Purple,JUKE,NI
1GYS4JKJ0FR507052,Hyundai,Yellow,Accent,TG
1N6AA0CJ3FN993850,Nissan,Pink,Sentra,ZA
WDDEJ8GB1AA512795,Aston Martin,Crimson,DB9,PT
WAUDGBFL2DA223325,Ford,Green,Escort,ID
JTDKTUD38ED087500,Pontiac,Mauv,GTO,NG
W04GX5GVXB1970390,Honda,Khaki,Odyssey,CZ
3D73M4CL7AG036768,Dodge,Blue,Caravan,CZ
5TDDK3DCXFS668282,Dodge,Pink,Ram,CN
WBAYA8C55DC370495,Audi,Khaki,A8,ZA
1C6RD6FP7CS220951,GMC,Violet,Sierra 2500,NG
SCBBR9ZA7AC136188,Fillmore,Goldenrod,Fillmore,MX
SCBLF34F42C326805,Ford,Maroon,Thunderbird,CN
WDDHH8JB3FB844739,GMC,Teal,Envoy,YE
4T1BF3EK1AU943667,Lamborghini,Blue,Countach,CN
KMHGN4JEXFU402428,Pontiac,Green,LeMans,LT
5N1AT2MKXFC342724,Chevrolet,Khaki,2500,ID
JN8AS5MT8AW220327,Mazda,Blue,MX-5,CN
KMHHT6KD0EU548251,Ford,Aquamarine,Taurus,PL
1FMJK1G54BE528094,Volkswagen,Maroon,Tiguan,PK
1C6RD6FK7CS345811,Mercury,Red,Mystique,CO
1GYFC33209R133246,Mercury,Purple,Grand Marquis,CO
WAUZL64B81N988949,Oldsmobile,Khaki,Cutlass Supreme,BR
1GYS3DEF9DR530712,Volvo,Red,960,JP
WAURGAFD5EN856775,Chevrolet,Purple,Cavalier,PH
JTHBK1GG6E2708789,Dodge,Purple,Caravan,ID
5FRYD4H67EB496414,Buick,Indigo,Riviera,KP
1FMJK1JT1FE189338,Cadillac,Yellow,Seville,ID
JM1NC2EF5A0457197,Chevrolet,Crimson,Astro,EG
YV4852CT0A1889946,Chrysler,Crimson,300M,ID
KMHHT6KD1AU837066,Lexus,Goldenrod,RX,PL
3C3CFFHH8FT554234,Lincoln,Purple,Town Car,CN
4A31K3DT0BE013533,Nissan,Mauv,Armada,CN
5UXZV8C5XBL772102,Lexus,Crimson,GX,RU
4A31K2DF5AE935055,Plymouth,Indigo,Neon,VE
WBA3D5C58FK991478,Volkswagen,Violet,Passat,CN
1C3BC2EB5BN790928,Chevrolet,Purple,Tahoe,PS
WUAYU48H88K431486,Toyota,Orange,RAV4,CN
JTMHY7AJ0D4263132,Saab,Maroon,9-3,PT
5FRYD3H22EB915955,Kia,Green,Sportage,ID
1G6AL5S34D0281163,Pontiac,Maroon,Bonneville,MA
WVGAV7AX1CW335422,Lexus,Purple,RX,CO
JTJBM7FX3A5455890,Lexus,Violet,LS,AR
JN8AE2KP3D9316879,Smart,Mauv,Fortwo,MW
1G4HR54K244522995,Saab,Pink,9000,HN
WA1LGAFE5FD907811,Ram,Red,3500,CL
1G6DJ577880246176,Hyundai,Turquoise,Entourage,RU
WBAUN9C5XAV751056,Mazda,Red,Tribute,ID
3D7LP2ET2BG341380,Toyota,Khaki,Avalon,PH
2G4WS52J931788904,Nissan,Teal,Maxima,FI
WAUWFAFR0DA307699,GMC,Aquamarine,Safari,RU
2G61V5S83F9986177,Chrysler,Mauv,Cirrus,BO
2C3CDXEJ4FH050842,Ford,Red,Explorer Sport Trac,CN
4T1BD1EB8DU937704,Lincoln,Khaki,MKZ,ID
1C4RDJAG7FC869814,Jeep,Mauv,Commander,PL
WBXPC93507W562153,Audi,Orange,Q7,ZA
WBAYA6C50DC711726,Ford,Crimson,E-350 Super Duty Van,UA
1G6AB5SX5F0793703,Toyota,Goldenrod,T100 Xtra,PL
1GYS4DEF4DR711861,Toyota,Maroon,Celica,XK
WAULD54B02N217870,Chevrolet,Fuscia,Sportvan G30,KW
1G6DE8EG3A0103781,Jaguar,Violet,S-Type,TN
1FTEW1CF4FF798029,Nissan,Orange,Pathfinder,JP
KNDPB3AC1F7490676,Mercedes-Benz,Violet,E-Class,RU
JN8AF5MR2BT340345,Porsche,Mauv,Panamera,JP
3FAHP0CG9AR307424,Ford,Indigo,F-Series Super Duty,CZ
SCBZB25E12C001695,Ford,Maroon,Crown Victoria,PH
JN8AF5MR8CT207817,Dodge,Purple,Omni,AF
4T1BF3EK4AU524695,Volvo,Aquamarine,C30,BJ
JN8AZ2KR4CT276562,Suzuki,Khaki,Aerio,CM
JN8AS5MT0BW090268,Mitsubishi,Puce,Eclipse,CN
WBANU5C53AC748897,Toyota,Khaki,Sequoia,IE
WUADU98E68N127749,Ford,Khaki,F-Series,BY
SCBDC47L99C955765,Chevrolet,Khaki,Camaro,PH
SALFR2BG1DH458538,Ford,Teal,Explorer,CN
WBANF735X6C258437,Buick,Green,Reatta,ID
SCFBF04B88G172381,Honda,Turquoise,Civic,FR
WAUK2AFD9FN350061,Lexus,Pink,LX,BR
WAUGN94F09N148228,Aston Martin,Violet,Vantage,JP
3N1CN7AP2FL213808,Audi,Blue,90,PG
2T1BPRHE3EC854907,Dodge,Red,Ram Van 1500,CA
3C6JD6CTXCG877278,Honda,Crimson,Odyssey,CN
2T1BURHE7EC848830,Mercedes-Benz,Maroon,S-Class,LR
JTDBT4K39B4652223,Mercedes-Benz,Fuscia,W201,PL
1C4RDHAG3CC425673,Mercedes-Benz,Purple,300E,SD
2C3CDXBGXFH939489,Toyota,Crimson,Matrix,RU
WBXPC93468W515640,Infiniti,Goldenrod,QX56,ID
1GD11XEGXFF110894,Geo,Puce,Metro,ID
5N1AR2MM0DC909214,Honda,Khaki,S2000,CN
1D7RW3BK6AS448762,Mitsubishi,Crimson,Galant,ID
3VW517AT7FM157483,Chevrolet,Purple,Caprice,MU
JN1AZ4EH2EM122992,GMC,Blue,Sierra 2500HD,PL
3FAHP0CG9CR839081,Chevrolet,Green,Lumina APV,CN
3C4PDCGB4FT761637,Oldsmobile,Crimson,Bravada,RU
WBAPN7C57AA938912,Suzuki,Blue,Forenza,AF
WBA3D3C52EK645896,Volkswagen,Teal,Eurovan,SE
1G6AK5SX7E0310534,Lamborghini,Violet,Gallardo,BR
1GYS3JEF2DR853188,Mercedes-Benz,Goldenrod,E-Class,AX
WBAPL5G5XBN765627,Kia,Goldenrod,Sportage,VN
YV126MFD4F1118753,Dodge,Pink,Aspen,FI
5TFAW5F19EX266261,Volkswagen,Aquamarine,Cabriolet,CN
WBAXH5C54CD066086,Volkswagen,Purple,R32,TT
KNAFU6A21A5190863,GMC,Orange,Yukon XL 1500,CL
WUAGNAFG3BN511320,Toyota,Orange,Solara,ZA
WBA6B2C51FD720168,Hyundai,Fuscia,Elantra,EC
WBADX7C58DP198866,Chevrolet,Crimson,Malibu,FR
5UXKS4C56E0059643,BMW,Purple,5 Series,PH
3FAHP0DC4AR424842,Mitsubishi,Aquamarine,Montero Sport,SE
1C3CCBAB2DN418542,Subaru,Goldenrod,SVX,BR
JH4CL969X8C826314,Ford,Khaki,Probe,CN
2G4WN58CX81170031,Lexus,Yellow,LX,NE
JTDKDTB31E1558740,Pontiac,Mauv,Grand Prix,FI
5LMJJ2HT3FE855890,Plymouth,Mauv,Acclaim,UA
5J8TB3H31GL190361,Mitsubishi,Green,Precis,PT
KNAFU6A29D5293940,Jaguar,Yellow,S-Type,FR
1C6RD6MTXCS096688,Cadillac,Fuscia,XLR,DK
3VWF17ATXFM370013,Chevrolet,Mauv,1500,ID
1FMCU4K34CK045413,Lotus,Purple,Esprit,ID
WAUAFAFL3BN163089,Toyota,Aquamarine,MR2,ID
1FMCU0D75AK216823,Nissan,Blue,Altima,TH
WA1BY74L58D563039,Nissan,Yellow,Frontier,TH
1G6KD57988U453269,Mazda,Violet,B-Series,CN
WUARL48H84K395039,Volkswagen,Yellow,Jetta,ID
2T1BURHE7FC203614,Pontiac,Green,Grand Am,CN
WAU3FAFR8CA676893,Dodge,Red,Ram Wagon B150,JP
2C3CK6CT8BH775746,Volkswagen,Green,rio,ET
WP0AB2A97BS074014,Buick,Aquamarine,Roadmaster,KE
1FTSW2B5XAE824679,Mercury,Turquoise,Grand Marquis,AL
WBAVB73518F529480,Chevrolet,Teal,G-Series G20,ID
TRUB3AFK0D1207718,Chevrolet,Turquoise,Tahoe,HR
WBAUP73599V843074,Chevrolet,Violet,Cavalier,CO
WAUKFAFL8EN732706,Mazda,Pink,Millenia,UG
WVGEP9BP8FD215302,Hyundai,Indigo,Entourage,LU
1G6YV34A545335095,Ford,Goldenrod,Mustang,RU
SCBBR9ZA2CC610910,Buick,Goldenrod,Rendezvous,RU
1FTWW3A55AE683383,Hyundai,Green,Elantra,BR
WBAEV53465K142963,Volvo,Orange,S40,PL
5TDBK3EH7DS674264,Ford,Green,E-Series,BD
1G6DV1EP7B0429818,Dodge,Aquamarine,Dakota,PT
JTDKN3DU9F0003996,Cadillac,Turquoise,STS,CN
WVWAW7AH7BV812711,Hyundai,Indigo,Elantra,PS
2C3CA7CW5AH737781,Audi,Orange,Quattro,SE
1GTN1TEX5CZ503615,Ford,Teal,Ranger,MN
VNKJTUD30FA970853,Lamborghini,Puce,Gallardo,AR
3C63D2CL1CG542590,Ford,Khaki,Taurus,PT
WA1CFAFP6BA101198,Mitsubishi,Purple,Precis,US
WBADN63493G779752,Pontiac,Crimson,Grand Prix,RS
WAUAF48H18K142150,Ford,Violet,Probe,PH
JN1CV6EK5FM671759,Lexus,Crimson,ES,ID
1N6AF0LY6EN264402,Honda,Teal,Civic,SE
3D7LP2ET8AG698402,Hyundai,Yellow,Veracruz,FR
3G5DA03L77S980728,BMW,Puce,8 Series,CN
WBAEB5C55AC356963,Hyundai,Turquoise,Veracruz,KZ
1C3CDFEB6ED444955,Chevrolet,Green,Avalanche,CA
3C63DRNL0CG499107,GMC,Green,Canyon,PL
1GD12XEG8FF685606,Dodge,Crimson,Viper,PH
1G6DH1E33E0983530,Pontiac,Goldenrod,Parisienne,ID
1D4PU6GX8AW910859,GMC,Mauv,3500 Club Coupe,PT
1G6DP1E31C0821444,Subaru,Pink,Impreza,CZ
JH4KC1F91EC582061,Porsche,Orange,Cayman,CN
WAULD64B82N849831,BMW,Pink,325,CZ
3C4PDDEG5FT357881,Mercedes-Benz,Orange,E-Class,PA
1G6KY54981U173480,Lexus,Khaki,LX,PH
KMHHT6KD2BU157257,Ferrari,Yellow,430 Scuderia,RU
WAULC68E65A036717,GMC,Green,Rally Wagon G2500,CO
4USCK734X2L952790,Cadillac,Aquamarine,DTS,CN
JH4CU2F60AC873769,Maserati,Orange,Spyder,BR
WBALL5C54CE848301,Volkswagen,Teal,Jetta III,ID
1N4AB7AP0EN855915,Infiniti,Goldenrod,FX,CN
1G6DM57N130708141,Volvo,Green,XC90,SI
WAUDFAFL4BA486944,Saab,Goldenrod,900,IL
WBADS33442G920314,Cadillac,Yellow,Escalade EXT,SY
2HKRM3H53FH561995,Chevrolet,Aquamarine,Corvette,PL
1GTC5MF99C8820479,BMW,Green,Z3,CN
2C3CCARGXFH399213,Ford,Teal,Aerostar,BG
2C4RDGCG6CR131568,Honda,Yellow,Insight,RU
JN1BY1AR7FM940983,Dodge,Pink,Caravan,MY
WAUFFBFL3AN145248,Buick,Puce,Enclave,US
WBA3X5C56ED916840,Dodge,Goldenrod,Ram Van 3500,CN
WAUGU54D01N620961,Dodge,Indigo,Viper,RU
JA32U1FU1CU269780,Buick,Green,Park Avenue,PT
WAUMGAFL8BA343220,Mercedes-Benz,Teal,S-Class,CN
5GADT13SX42635184,Ford,Khaki,Escort,TH
1G6KH5EY1AU650353,Lotus,Mauv,Evora,RU
1FTEW1CM5DK511106,Isuzu,Green,Hombre Space,CN
5TDBK3EH8DS025850,Honda,Teal,Accord,RU
1G6DB1ED2B0276974,Hyundai,Indigo,Sonata,RU
KNAGN4AD1F5805426,Ford,Red,F150,UA
5FRYD3H22GB728315,Pontiac,Indigo,Parisienne,VN
WDDNG9FB0CA451111,Oldsmobile,Khaki,Bravada,TH
5TFBY5F16AX926183,Toyota,Pink,Celica,FI
1FTWW3B59AE850343,Hyundai,Fuscia,Sonata,RU
WBA3C1C52FP668932,Chevrolet,Fuscia,Malibu,MY
JM1NC2LF5F0830135,Cadillac,Orange,Seville,PE
1C6RD6HTXCS911188,Cadillac,Maroon,STS-V,PL
W04GW5EV4B1150988,Nissan,Maroon,Maxima,BR
1N6AA0CCXAN140646,Infiniti,Goldenrod,I,ID
WAUPEAFM9CA412736,Ford,Yellow,GT,CN
WAUGN74F99N217504,Mitsubishi,Fuscia,Precis,CN
WBAPK7C55BF910491,Toyota,Aquamarine,Paseo,US
1C3CC4FB0AN037630,Volkswagen,Crimson,Passat,CN
19XFA1E63AE384536,GMC,Yellow,Sierra 1500,CR
WAUBF98E28A641844,Buick,Teal,Reatta,AF
1G6DP577060787900,Mercedes-Benz,Violet,R-Class,ID
SCFFDAAE3CG973448,Volkswagen,Yellow,Eurovan,BO
1G4HP57236U648853,Ford,Aquamarine,Mustang,NZ
WAUBFAFL5EN394181,Land Rover,Green,Range Rover,CN
WDDEJ7GB5DA218539,Mitsubishi,Yellow,Montero Sport,ID
ML32A3HJ6FH822528,Infiniti,Violet,I,RU
5N1AN0NU3FN148653,Chrysler,Goldenrod,300,IR
W04GR5EC5B1100672,Saab,Khaki,900,JP
JTMHY7AJ1B5238909,Lexus,Teal,LS Hybrid,VN
SAJWA2GZ0E8585471,Audi,Mauv,A6,PH
5FNYF3H2XDB246621,Dodge,Blue,Intrepid,CN
WAUAF68E65A950948,Mazda,Violet,626,CN
WAUMGBFL5CA865858,Mitsubishi,Goldenrod,i-MiEV,PL
3C63DPGL4CG824746,Lexus,Yellow,LS,IR
WAUHFAFL0FN264529,Pontiac,Khaki,Grand Am,PH
5UXFG2C52E0773793,GMC,Blue,Jimmy,MG
WBA3T3C55FP502755,Lexus,Yellow,SC,KG
WBADR63492G738847,Lincoln,Turquoise,Town Car,BG
2T1BU4EE2DC729735,Ford,Puce,F250,CN
WBSBL93481J328256,Audi,Blue,A6,CN
3C6TD5GT5CG838966,Audi,Blue,A6,ID
5XXGM4A76FG018628,Oldsmobile,Mauv,98,RU
WAU3VAFR7AA854745,Dodge,Pink,Ram Van 1500,CN
WBS3U9C59FJ947336,Plymouth,Turquoise,Breeze,ID
1FTWF3C56AE092234,Toyota,Blue,Tundra,PH
WBANB33584B787487,GMC,Maroon,Suburban 2500,RU
1G6DC1E36E0235871,Nissan,Teal,Armada,CN
JH4KB2F57AC125660,Buick,Red,LaCrosse,BR
WAUML54BX4N850595,Ford,Mauv,Escort,AL
1HGCR2F36EA393506,Dodge,Turquoise,Viper,CN
WBAEU33493P044078,Chevrolet,Violet,Silverado 3500,JP
WAUBF78E57A703076,Lexus,Puce,GX,CU
1VWAP7A34EC711933,BMW,Mauv,X3,CN
TRURD38J591729778,Eagle,Fuscia,Talon,PT
YV1612FS7E2183916,Mazda,Blue,626,MX
2T1BURHE5FC257784,GMC,Mauv,Savana 1500,PT
1FMCU0C75CK198828,Audi,Indigo,S8,ID
JTHBK1EG8A2162252,Ford,Goldenrod,Ranger,ZA
1G6AR5S34F0147898,Mazda,Crimson,Protege,BR
WBALW3C54CC319096,Plymouth,Violet,Neon,ID
3GYFNGEY4BS056161,BMW,Puce,Z8,US
1G6DG8EG7A0779368,Mercedes-Benz,Turquoise,400E,HU
WBADT33452G385328,Audi,Red,R8,RU
JN8AF5MR3DT877910,Suzuki,Purple,Verona,FR
1G6DM57N830342193,Honda,Puce,Passport,ID
WDDEJ7HBXAA436888,GMC,Mauv,Sonoma,PT
3C6TD4MTXCG094974,Mercedes-Benz,Orange,SL-Class,ID
2HNYD18604H978502,Chevrolet,Puce,Malibu,BR
2D4RN4DG0BR398393,Ford,Turquoise,Crown Victoria,ID
